"Date";"Designation";"Weekday"

"01.01.2022";"New Years";"Mon"
"06.01.2022";"Epiphany";"Sat"
"17.04.2022";"Easter";"Sun" 
"18.04.2022";"Easter Monday";"Mon" 
"25.04.2022";"Liberation Italy";"Thu"
"01.05.2022";"Labour Day";"Wed"
"02.06.2022";"Republic Day Italy";"Sun"
"06.06.2022";"Whit Monday";"Mon" 
"15.08.2022";"Ferragosto";"Thu"
"01.11.2022";"All Saints' Day";"Fri"
"08.12.2022";"Immaculate Conception";"Sun"
"25.12.2022";"Christmas";"Wed"
"26.12.2022";"St. Stephens";"Thu"

"01.01.2023";"New Years";"Mon"
"06.01.2023";"Epiphany";"Sat"
"09.04.2023";"Easter";"Sun" 
"10.04.2023";"Easter Monday";"Mon" 
"25.04.2023";"Liberation Italy";"Thu"
"01.05.2023";"Labour Day";"Wed"
"29.05.2023";"Whit Monday";"Mon" 
"02.06.2023";"Republic Day Italy";"Sun"
"15.08.2023";"Ferragosto";"Thu"
"01.11.2023";"All Saints' Day";"Fri"
"08.12.2023";"Immaculate Conception";"Sun"
"25.12.2023";"Christmas";"Wed"
"26.12.2023";"St. Stephens";"Thu"

"01.01.2024";"New Years";"Mon"
"06.01.2024";"Epiphany";"Sat"
"31.03.2024";"Easter";"Sun"
"01.04.2024";"Easter Monday";"Mon"
"25.04.2024";"Liberation Italy";"Thu"
"01.05.2024";"Labour Day";"Wed"
"20.05.2024";"Whit Monday";"Mon"
"02.06.2024";"Republic Day Italy";"Sun"
"15.08.2024";"Ferragosto";"Thu"
"01.11.2024";"All Saints' Day";"Fri"
"08.12.2024";"Immaculate Conception";"Sun"
"25.12.2024";"Christmas";"Wed"
"26.12.2024";"St. Stephens";"Thu"

"01.01.2025";"New Years";"Wed"
"06.01.2025";"Epiphany";"Mon"
"20.04.2025";"Easter";"Sun"
"21.04.2025";"Easter Monday";"Mon"
"25.04.2025";"Liberation Italy";"Fri"
"01.05.2025";"Labour Day";"Thu"
"02.06.2025";"Republic Day Italy";"Mon"
"09.06.2025";"Whit Monday";"Mon"
"15.08.2025";"Ferragosto";"Fri"
"01.11.2025";"All Saints' Day";"Sat"
"08.12.2025";"Immaculate Conception";"Mon"
"25.12.2025";"Christmas";"Thu"
"26.12.2025";"St. Stephens";"Fri"

"01.01.2026";"New Years";"Thu"
"06.01.2026";"Epiphany";"Tue"
"05.04.2026";"Easter";"Sun"
"06.04.2026";"Easter Monday";"Mon"
"25.04.2026";"Liberation Italy";"Sat"
"01.05.2026";"Labour Day";"Fri"
"25.05.2026";"Whit Monday";"Mon"
"02.06.2026";"Republic Day Italy";"Tue"
"15.08.2026";"Ferragosto";"Sat"
"01.11.2026";"All Saints' Day";"Sun"
"08.12.2026";"Immaculate Conception";"Tue"
"25.12.2026";"Christmas";"Fri"
"26.12.2026";"St. Stephens";"Sat"

"01.01.2027";"New Years";"Thu"
"06.01.2027";"Epiphany";"Tue"
"28.03.2027";"Easter";"Sun" 
"29.03.2027";"Easter Monday";"Mon"
"25.04.2027";"Liberation Italy";"Sat"
"01.05.2027";"Labour Day";"Fri"
"17.05.2027";"Whit Monday";"Mon"
"02.06.2027";"Republic Day Italy";"Tue"
"15.08.2027";"Ferragosto";"Sat"
"01.11.2027";"All Saints' Day";"Sun"
"08.12.2027";"Immaculate Conception";"Tue"
"25.12.2027";"Christmas";"Fri"
"26.12.2027";"St. Stephens";"Sat"

"01.01.2028";"New Years";"Thu"
"06.01.2028";"Epiphany";"Tue"
"16.04.2028";"Easter";"Sun"
"17.04.2028";"Easter Monday";"Mon"
"25.04.2028";"Liberation Italy";"Sat"
"01.05.2028";"Labour Day";"Fri"
"02.06.2028";"Republic Day Italy";"Tue"
"05.06.2028";"Whit Monday";"Mon"
"15.08.2028";"Ferragosto";"Sat"
"01.11.2028";"All Saints' Day";"Sun"
"08.12.2028";"Immaculate Conception";"Tue"
"25.12.2028";"Christmas";"Fri"
"26.12.2028";"St. Stephens";"Sat"